"Plot Title: 05"
"#","Date Time, GMT+13:00","Temp, °C (LGR S/N: 10398693, SEN S/N: 10398693)","Coupler Detached (LGR S/N: 10398693)","Coupler Attached (LGR S/N: 10398693)","Host Connected (LGR S/N: 10398693)","Stopped (LGR S/N: 10398693)","End Of File (LGR S/N: 10398693)"
1,02/26/20 11:00:00 AM,32.665,Logged,,,,
2,02/26/20 11:05:00 AM,32.047,,,,,
3,02/26/20 11:10:00 AM,30.318,,,,,
4,02/26/20 11:15:00 AM,28.493,,,,,
5,02/26/20 11:20:00 AM,25.089,,,,,
6,02/26/20 11:25:00 AM,23.424,,,,,
7,02/26/20 11:30:00 AM,22.657,,,,,
8,02/26/20 11:35:00 AM,22.226,,,,,
9,02/26/20 11:40:00 AM,22.082,,,,,
10,02/26/20 11:45:00 AM,21.939,,,,,
11,02/26/20 11:50:00 AM,22.082,,,,,
12,02/26/20 11:55:00 AM,22.274,,,,,
13,02/26/20 12:00:00 PM,22.417,,,,,
14,02/26/20 12:05:00 PM,22.561,,,,,
15,02/26/20 12:10:00 PM,22.633,,,,,
16,02/26/20 12:15:00 PM,22.800,,,,,
17,02/26/20 12:20:00 PM,23.112,,,,,
18,02/26/20 12:25:00 PM,23.304,,,,,
19,02/26/20 12:30:00 PM,23.112,,,,,
20,02/26/20 12:35:00 PM,23.328,,,,,
21,02/26/20 12:40:00 PM,23.376,,,,,
22,02/26/20 12:45:00 PM,23.448,,,,,
23,02/26/20 12:50:00 PM,23.521,,,,,
24,02/26/20 12:55:00 PM,23.569,,,,,
25,02/26/20 01:00:00 PM,23.569,,,,,
26,02/26/20 01:05:00 PM,23.954,,,,,
27,02/26/20 01:10:00 PM,23.833,,,,,
28,02/26/20 01:15:00 PM,24.002,,,,,
29,02/26/20 01:20:00 PM,24.171,,,,,
30,02/26/20 01:25:00 PM,24.171,,,,,
31,02/26/20 01:30:00 PM,24.315,,,,,
32,02/26/20 01:35:00 PM,24.388,,,,,
33,02/26/20 01:40:00 PM,24.412,,,,,
34,02/26/20 01:45:00 PM,24.605,,,,,
35,02/26/20 01:50:00 PM,24.750,,,,,
36,02/26/20 01:55:00 PM,24.750,,,,,
37,02/26/20 02:00:00 PM,24.774,,,,,
38,02/26/20 02:05:00 PM,24.871,,,,,
39,02/26/20 02:10:00 PM,25.016,,,,,
40,02/26/20 02:15:00 PM,25.258,,,,,
41,02/26/20 02:20:00 PM,25.162,,,,,
42,02/26/20 02:25:00 PM,24.992,,,,,
43,02/26/20 02:30:00 PM,25.113,,,,,
44,02/26/20 02:35:00 PM,25.113,,,,,
45,02/26/20 02:40:00 PM,25.162,,,,,
46,02/26/20 02:45:00 PM,25.210,,,,,
47,02/26/20 02:50:00 PM,25.404,,,,,
48,02/26/20 02:55:00 PM,25.380,,,,,
49,02/26/20 03:00:00 PM,25.162,,,,,
50,02/26/20 03:05:00 PM,25.355,,,,,
51,02/26/20 03:10:00 PM,25.453,,,,,
52,02/26/20 03:15:00 PM,25.355,,,,,
53,02/26/20 03:20:00 PM,25.258,,,,,
54,02/26/20 03:25:00 PM,25.283,,,,,
55,02/26/20 03:30:00 PM,25.186,,,,,
56,02/26/20 03:35:00 PM,25.065,,,,,
57,02/26/20 03:40:00 PM,25.065,,,,,
58,02/26/20 03:45:00 PM,25.331,,,,,
59,02/26/20 03:50:00 PM,25.380,,,,,
60,02/26/20 03:55:00 PM,25.234,,,,,
61,02/26/20 04:00:00 PM,25.355,,,,,
62,02/26/20 04:05:00 PM,25.307,,,,,
63,02/26/20 04:10:00 PM,25.331,,,,,
64,02/26/20 04:15:00 PM,25.331,,,,,
65,02/26/20 04:20:00 PM,25.234,,,,,
66,02/26/20 04:25:00 PM,25.307,,,,,
67,02/26/20 04:30:00 PM,25.210,,,,,
68,02/26/20 04:35:00 PM,25.137,,,,,
69,02/26/20 04:40:00 PM,25.162,,,,,
70,02/26/20 04:45:00 PM,25.065,,,,,
71,02/26/20 04:50:00 PM,24.871,,,,,
72,02/26/20 04:55:00 PM,24.677,,,,,
73,02/26/20 05:00:00 PM,24.750,,,,,
74,02/26/20 05:05:00 PM,24.532,,,,,
75,02/26/20 05:10:00 PM,24.050,,,,,
76,02/26/20 05:15:00 PM,23.665,,,,,
77,02/26/20 05:20:00 PM,23.184,,,,,
78,02/26/20 05:25:00 PM,22.729,,,,,
79,02/26/20 05:30:00 PM,22.321,,,,,
80,02/26/20 05:35:00 PM,21.700,,,,,
81,02/26/20 05:40:00 PM,21.056,,,,,
82,02/26/20 05:45:00 PM,20.579,,,,,
83,02/26/20 05:50:00 PM,20.269,,,,,
84,02/26/20 05:55:00 PM,20.031,,,,,
85,02/26/20 06:00:00 PM,19.793,,,,,
86,02/26/20 06:05:00 PM,19.674,,,,,
87,02/26/20 06:10:00 PM,19.532,,,,,
88,02/26/20 06:15:00 PM,19.508,,,,,
89,02/26/20 06:20:00 PM,19.436,,,,,
90,02/26/20 06:25:00 PM,19.389,,,,,
91,02/26/20 06:30:00 PM,19.318,,,,,
92,02/26/20 06:35:00 PM,19.175,,,,,
93,02/26/20 06:40:00 PM,19.080,,,,,
94,02/26/20 06:45:00 PM,18.985,,,,,
95,02/26/20 06:50:00 PM,18.842,,,,,
96,02/26/20 06:55:00 PM,18.723,,,,,
97,02/26/20 07:00:00 PM,18.580,,,,,
98,02/26/20 07:05:00 PM,18.414,,,,,
99,02/26/20 07:10:00 PM,18.271,,,,,
100,02/26/20 07:15:00 PM,18.081,,,,,
101,02/26/20 07:20:00 PM,17.843,,,,,
102,02/26/20 07:25:00 PM,17.677,,,,,
103,02/26/20 07:30:00 PM,17.534,,,,,
104,02/26/20 07:35:00 PM,17.344,,,,,
105,02/26/20 07:40:00 PM,17.130,,,,,
106,02/26/20 07:45:00 PM,16.987,,,,,
107,02/26/20 07:50:00 PM,16.796,,,,,
108,02/26/20 07:55:00 PM,16.606,,,,,
109,02/26/20 08:00:00 PM,16.487,,,,,
110,02/26/20 08:05:00 PM,16.392,,,,,
111,02/26/20 08:10:00 PM,16.272,,,,,
112,02/26/20 08:15:00 PM,16.129,,,,,
113,02/26/20 08:20:00 PM,16.010,,,,,
114,02/26/20 08:25:00 PM,15.843,,,,,
115,02/26/20 08:30:00 PM,15.724,,,,,
116,02/26/20 08:35:00 PM,15.629,,,,,
117,02/26/20 08:40:00 PM,15.509,,,,,
118,02/26/20 08:45:00 PM,15.438,,,,,
119,02/26/20 08:50:00 PM,15.366,,,,,
120,02/26/20 08:55:00 PM,15.247,,,,,
121,02/26/20 09:00:00 PM,15.175,,,,,
122,02/26/20 09:05:00 PM,15.103,,,,,
123,02/26/20 09:10:00 PM,15.055,,,,,
124,02/26/20 09:15:00 PM,14.960,,,,,
125,02/26/20 09:20:00 PM,14.840,,,,,
126,02/26/20 09:25:00 PM,14.721,,,,,
127,02/26/20 09:30:00 PM,14.625,,,,,
128,02/26/20 09:35:00 PM,14.529,,,,,
129,02/26/20 09:40:00 PM,14.385,,,,,
130,02/26/20 09:45:00 PM,14.290,,,,,
131,02/26/20 09:50:00 PM,14.218,,,,,
132,02/26/20 09:55:00 PM,14.074,,,,,
133,02/26/20 10:00:00 PM,14.002,,,,,
134,02/26/20 10:05:00 PM,13.954,,,,,
135,02/26/20 10:10:00 PM,13.882,,,,,
136,02/26/20 10:15:00 PM,13.738,,,,,
137,02/26/20 10:20:00 PM,13.714,,,,,
138,02/26/20 10:25:00 PM,13.690,,,,,
139,02/26/20 10:30:00 PM,13.642,,,,,
140,02/26/20 10:35:00 PM,13.546,,,,,
141,02/26/20 10:40:00 PM,13.449,,,,,
142,02/26/20 10:45:00 PM,13.401,,,,,
143,02/26/20 10:50:00 PM,13.353,,,,,
144,02/26/20 10:55:00 PM,13.257,,,,,
145,02/26/20 11:00:00 PM,13.161,,,,,
146,02/26/20 11:05:00 PM,13.112,,,,,
147,02/26/20 11:10:00 PM,13.064,,,,,
148,02/26/20 11:15:00 PM,12.992,,,,,
149,02/26/20 11:20:00 PM,12.992,,,,,
150,02/26/20 11:25:00 PM,12.968,,,,,
151,02/26/20 11:30:00 PM,12.896,,,,,
