"Plot Title: 01"
"#","Date Time, GMT+13:00","Temp, °C (LGR S/N: 10398690, SEN S/N: 10398690)","Coupler Detached (LGR S/N: 10398690)","Coupler Attached (LGR S/N: 10398690)","Host Connected (LGR S/N: 10398690)","Stopped (LGR S/N: 10398690)","End Of File (LGR S/N: 10398690)"
1,02/26/20 11:00:00 AM,32.021,Logged,,,,
2,02/26/20 11:05:00 AM,31.740,,,,,
3,02/26/20 11:10:00 AM,31.357,,,,,
4,02/26/20 11:15:00 AM,31.230,,,,,
5,02/26/20 11:20:00 AM,31.357,,,,,
6,02/26/20 11:25:00 AM,31.331,,,,,
7,02/26/20 11:30:00 AM,31.001,,,,,
8,02/26/20 11:35:00 AM,30.217,,,,,
9,02/26/20 11:40:00 AM,28.468,,,,,
10,02/26/20 11:45:00 AM,24.871,,,,,
11,02/26/20 11:50:00 AM,22.178,,,,,
12,02/26/20 11:55:00 AM,20.388,,,,,
13,02/26/20 12:00:00 PM,19.270,,,,,
14,02/26/20 12:05:00 PM,18.557,,,,,
15,02/26/20 12:10:00 PM,17.986,,,,,
16,02/26/20 12:15:00 PM,17.582,,,,,
17,02/26/20 12:20:00 PM,17.391,,,,,
18,02/26/20 12:25:00 PM,17.296,,,,,
19,02/26/20 12:30:00 PM,17.225,,,,,
20,02/26/20 12:35:00 PM,17.225,,,,,
21,02/26/20 12:40:00 PM,17.272,,,,,
22,02/26/20 12:45:00 PM,17.320,,,,,
23,02/26/20 12:50:00 PM,17.415,,,,,
24,02/26/20 12:55:00 PM,17.415,,,,,
25,02/26/20 01:00:00 PM,17.510,,,,,
26,02/26/20 01:05:00 PM,17.629,,,,,
27,02/26/20 01:10:00 PM,17.724,,,,,
28,02/26/20 01:15:00 PM,17.819,,,,,
29,02/26/20 01:20:00 PM,17.819,,,,,
30,02/26/20 01:25:00 PM,17.843,,,,,
31,02/26/20 01:30:00 PM,17.867,,,,,
32,02/26/20 01:35:00 PM,17.915,,,,,
33,02/26/20 01:40:00 PM,18.010,,,,,
34,02/26/20 01:45:00 PM,17.986,,,,,
35,02/26/20 01:50:00 PM,17.962,,,,,
36,02/26/20 01:55:00 PM,17.962,,,,,
37,02/26/20 02:00:00 PM,18.057,,,,,
38,02/26/20 02:05:00 PM,18.129,,,,,
39,02/26/20 02:10:00 PM,18.129,,,,,
40,02/26/20 02:15:00 PM,18.152,,,,,
41,02/26/20 02:20:00 PM,18.271,,,,,
42,02/26/20 02:25:00 PM,18.271,,,,,
43,02/26/20 02:30:00 PM,18.247,,,,,
44,02/26/20 02:35:00 PM,18.176,,,,,
45,02/26/20 02:40:00 PM,18.176,,,,,
46,02/26/20 02:45:00 PM,18.152,,,,,
47,02/26/20 02:50:00 PM,18.152,,,,,
48,02/26/20 02:55:00 PM,18.247,,,,,
49,02/26/20 03:00:00 PM,18.319,,,,,
50,02/26/20 03:05:00 PM,18.295,,,,,
51,02/26/20 03:10:00 PM,18.247,,,,,
52,02/26/20 03:15:00 PM,18.105,,,,,
53,02/26/20 03:20:00 PM,18.057,,,,,
54,02/26/20 03:25:00 PM,17.772,,,,,
55,02/26/20 03:30:00 PM,17.653,,,,,
56,02/26/20 03:35:00 PM,17.748,,,,,
57,02/26/20 03:40:00 PM,17.701,,,,,
58,02/26/20 03:45:00 PM,17.701,,,,,
59,02/26/20 03:50:00 PM,17.510,,,,,
60,02/26/20 03:55:00 PM,17.391,,,,,
61,02/26/20 04:00:00 PM,17.249,,,,,
62,02/26/20 04:05:00 PM,17.153,,,,,
63,02/26/20 04:10:00 PM,17.130,,,,,
64,02/26/20 04:15:00 PM,17.177,,,,,
65,02/26/20 04:20:00 PM,17.201,,,,,
66,02/26/20 04:25:00 PM,17.391,,,,,
67,02/26/20 04:30:00 PM,17.486,,,,,
68,02/26/20 04:35:00 PM,17.510,,,,,
69,02/26/20 04:40:00 PM,17.486,,,,,
70,02/26/20 04:45:00 PM,17.415,,,,,
71,02/26/20 04:50:00 PM,17.320,,,,,
72,02/26/20 04:55:00 PM,17.249,,,,,
73,02/26/20 05:00:00 PM,17.153,,,,,
74,02/26/20 05:05:00 PM,17.034,,,,,
75,02/26/20 05:10:00 PM,16.987,,,,,
76,02/26/20 05:15:00 PM,16.987,,,,,
77,02/26/20 05:20:00 PM,16.987,,,,,
78,02/26/20 05:25:00 PM,17.082,,,,,
79,02/26/20 05:30:00 PM,17.106,,,,,
80,02/26/20 05:35:00 PM,17.082,,,,,
81,02/26/20 05:40:00 PM,17.153,,,,,
82,02/26/20 05:45:00 PM,17.249,,,,,
83,02/26/20 05:50:00 PM,17.320,,,,,
84,02/26/20 05:55:00 PM,17.296,,,,,
85,02/26/20 06:00:00 PM,17.272,,,,,
86,02/26/20 06:05:00 PM,17.249,,,,,
87,02/26/20 06:10:00 PM,17.320,,,,,
88,02/26/20 06:15:00 PM,17.391,,,,,
89,02/26/20 06:20:00 PM,17.463,,,,,
90,02/26/20 06:25:00 PM,17.510,,,,,
91,02/26/20 06:30:00 PM,17.534,,,,,
92,02/26/20 06:35:00 PM,17.534,,,,,
93,02/26/20 06:40:00 PM,17.534,,,,,
94,02/26/20 06:45:00 PM,17.510,,,,,
95,02/26/20 06:50:00 PM,17.486,,,,,
96,02/26/20 06:55:00 PM,17.415,,,,,
97,02/26/20 07:00:00 PM,17.296,,,,,
98,02/26/20 07:05:00 PM,17.130,,,,,
99,02/26/20 07:10:00 PM,17.011,,,,,
100,02/26/20 07:15:00 PM,16.915,,,,,
101,02/26/20 07:20:00 PM,16.868,,,,,
102,02/26/20 07:25:00 PM,16.844,,,,,
